epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3226.64,1.03151,0.70031,0.0108,0.86116,0.84766,0.92597,0.66858,1.02575,0.60381,0.01756,0.0011882,0.0011882,0.0011882
43,3302.55,1.03053,0.70254,0.01111,0.84919,0.88054,0.9223,0.66018,1.06033,0.63007,0.01821,0.0011684,0.0011684,0.0011684
44,3377.64,1.01009,0.6857,0.01071,0.87094,0.87385,0.92993,0.67475,1.04765,0.57879,0.01834,0.0011486,0.0011486,0.0011486
45,3451.81,1.02325,0.7154,0.01072,0.85435,0.89414,0.9371,0.66877,1.04826,0.56064,0.01785,0.0011288,0.0011288,0.0011288
46,3524.95,0.97822,0.64682,0.01025,0.90882,0.86202,0.93611,0.67851,1.02545,0.56308,0.01749,0.001109,0.001109,0.001109
47,3595.73,0.9878,0.6503,0.01009,0.87227,0.87911,0.93602,0.66494,1.07937,0.59343,0.01867,0.0010892,0.0010892,0.0010892
48,3665.82,1.01911,0.65852,0.01029,0.90723,0.84811,0.93739,0.67493,1.05899,0.55938,0.01796,0.0010694,0.0010694,0.0010694
49,3739.99,0.99891,0.64823,0.01002,0.89978,0.88484,0.9469,0.67993,1.05633,0.54562,0.01761,0.0010496,0.0010496,0.0010496
50,3813.21,0.97524,0.65104,0.01013,0.88491,0.88042,0.93571,0.68121,1.01908,0.56009,0.01727,0.0010298,0.0010298,0.0010298
51,3884.21,0.99416,0.65385,0.01034,0.8663,0.88547,0.93781,0.68417,1.02752,0.57716,0.01776,0.00101,0.00101,0.00101
52,3956.91,1.01166,0.67296,0.0105,0.89163,0.89882,0.94864,0.68278,1.04146,0.52831,0.0175,0.0009902,0.0009902,0.0009902
53,4032.36,0.95943,0.61741,0.00976,0.88691,0.88629,0.93711,0.67671,1.05739,0.55144,0.01761,0.0009704,0.0009704,0.0009704
54,4106.49,0.95694,0.61003,0.00967,0.89048,0.90145,0.95324,0.69408,1.01694,0.4957,0.01686,0.0009506,0.0009506,0.0009506
55,4176.31,0.94427,0.59785,0.00953,0.90724,0.88679,0.94565,0.68701,1.04016,0.52269,0.01771,0.0009308,0.0009308,0.0009308
56,4247.59,0.97084,0.62807,0.00995,0.87987,0.90469,0.94492,0.67218,1.04834,0.5243,0.01749,0.000911,0.000911,0.000911
57,4319.56,0.92967,0.60227,0.00975,0.87209,0.89093,0.93795,0.67259,1.07349,0.56933,0.01852,0.0008912,0.0008912,0.0008912
58,4393.5,0.94208,0.57296,0.00963,0.8746,0.87066,0.93249,0.67891,1.01232,0.56349,0.01755,0.0008714,0.0008714,0.0008714
59,4465.14,0.96355,0.63976,0.00992,0.89201,0.86838,0.94553,0.69045,1.02845,0.52057,0.01769,0.0008516,0.0008516,0.0008516
60,4535.41,0.94088,0.58146,0.00981,0.90657,0.89259,0.94353,0.68433,1.0248,0.5159,0.01744,0.0008318,0.0008318,0.0008318
61,4607.53,0.93555,0.55594,0.00963,0.8922,0.90271,0.94684,0.68121,1.01408,0.52475,0.01695,0.000812,0.000812,0.000812
62,4679.37,0.91978,0.57799,0.00925,0.90685,0.89551,0.95239,0.69397,1.0401,0.49445,0.01746,0.0007922,0.0007922,0.0007922
63,4750.45,0.90958,0.55831,0.0091,0.9051,0.90933,0.95455,0.69895,1.00331,0.48724,0.01744,0.0007724,0.0007724,0.0007724
64,4823.27,0.96321,0.61352,0.01007,0.88001,0.91555,0.9536,0.68393,1.03877,0.51444,0.01773,0.0007526,0.0007526,0.0007526
65,4895.32,0.9057,0.56389,0.00912,0.88595,0.89832,0.93766,0.67179,1.03943,0.54121,0.01763,0.0007328,0.0007328,0.0007328
66,4966.14,0.91352,0.57737,0.00929,0.87996,0.90548,0.94529,0.69262,0.99286,0.49989,0.01668,0.000713,0.000713,0.000713
67,5037.82,0.92523,0.56231,0.00947,0.90555,0.89446,0.95014,0.70009,0.99339,0.49857,0.01681,0.0006932,0.0006932,0.0006932
68,5110.06,0.92215,0.57555,0.00962,0.91351,0.9067,0.96499,0.71611,0.9747,0.44647,0.01656,0.0006734,0.0006734,0.0006734
69,5181.02,0.90504,0.56457,0.00937,0.896,0.89619,0.94292,0.69563,0.98872,0.51185,0.01669,0.0006536,0.0006536,0.0006536
70,5250.8,0.90965,0.56732,0.00913,0.90248,0.91208,0.95429,0.70269,1.00303,0.48756,0.01671,0.0006338,0.0006338,0.0006338
71,5318.21,0.88333,0.52378,0.00909,0.91489,0.91818,0.96547,0.71414,0.9954,0.44825,0.01656,0.000614,0.000614,0.000614
72,5388.12,0.89178,0.53921,0.00886,0.90003,0.89225,0.95031,0.69838,1.0018,0.50573,0.01731,0.0005942,0.0005942,0.0005942
73,5457.46,0.89137,0.53845,0.00917,0.90999,0.90013,0.95035,0.7087,0.96344,0.48452,0.01617,0.0005744,0.0005744,0.0005744
74,5528.42,0.89614,0.56201,0.00904,0.89418,0.9105,0.95312,0.70523,0.99513,0.48126,0.01657,0.0005546,0.0005546,0.0005546
75,5598.63,0.87061,0.51757,0.00877,0.91345,0.9067,0.95887,0.70357,1.00814,0.46926,0.01687,0.0005348,0.0005348,0.0005348
76,5667.39,0.88034,0.53963,0.0091,0.90299,0.9067,0.95784,0.70685,0.99593,0.47479,0.01708,0.000515,0.000515,0.000515
77,5736.53,0.85228,0.51308,0.00853,0.91516,0.91196,0.95255,0.70645,0.98208,0.47497,0.01649,0.0004952,0.0004952,0.0004952
78,5807.33,0.90972,0.56075,0.00958,0.93778,0.89619,0.95827,0.7113,0.97669,0.43616,0.01645,0.0004754,0.0004754,0.0004754
79,5878.75,0.86418,0.52418,0.00843,0.91611,0.88964,0.95487,0.71443,0.96409,0.47132,0.01614,0.0004556,0.0004556,0.0004556
80,5947.26,0.84747,0.50658,0.00873,0.90238,0.8975,0.95652,0.71272,0.96114,0.46425,0.01621,0.0004358,0.0004358,0.0004358
81,6030.2,0.83084,0.50316,0.00818,0.91954,0.91613,0.96093,0.71619,0.96804,0.44077,0.01622,0.000416,0.000416,0.000416
82,6103.42,0.85559,0.51673,0.00869,0.91809,0.90539,0.95448,0.71232,0.98208,0.43689,0.01657,0.0003962,0.0003962,0.0003962
83,6174.05,0.85678,0.53994,0.00867,0.9285,0.8883,0.95441,0.71391,0.96374,0.44502,0.01609,0.0003764,0.0003764,0.0003764
84,6245.3,0.85578,0.51132,0.00854,0.92166,0.90539,0.95627,0.70892,0.97109,0.45103,0.01616,0.0003566,0.0003566,0.0003566
85,6320.08,0.86502,0.54577,0.00898,0.94115,0.88256,0.95611,0.71223,0.96443,0.45068,0.01605,0.0003368,0.0003368,0.0003368
86,6393.04,0.82096,0.48161,0.00818,0.895,0.92773,0.95733,0.72033,0.95108,0.45737,0.01601,0.000317,0.000317,0.000317
87,6470.88,0.84491,0.50977,0.00865,0.9157,0.91352,0.95809,0.71237,0.9638,0.45499,0.01612,0.0002972,0.0002972,0.0002972
88,6545.45,0.83718,0.49748,0.00834,0.91671,0.91118,0.95645,0.71276,0.96655,0.4483,0.01634,0.0002774,0.0002774,0.0002774
89,6621.73,0.86863,0.51725,0.00861,0.90746,0.92247,0.95786,0.7123,0.96324,0.44866,0.01624,0.0002576,0.0002576,0.0002576
90,6698.01,0.85114,0.51351,0.0088,0.91927,0.91853,0.95711,0.71751,0.95886,0.4434,0.0161,0.0002378,0.0002378,0.0002378
91,6803.72,0.71143,0.38671,0.00899,0.90622,0.90539,0.93752,0.68688,0.98359,0.48143,0.01642,0.000218,0.000218,0.000218
92,6883.21,0.71384,0.34364,0.00847,0.91008,0.90437,0.94907,0.69823,0.99466,0.49106,0.01642,0.0001982,0.0001982,0.0001982
93,6965.71,0.6778,0.30717,0.0083,0.92385,0.8927,0.9483,0.70851,0.97088,0.48036,0.01627,0.0001784,0.0001784,0.0001784
94,7035.91,0.6875,0.31861,0.00811,0.94192,0.89093,0.95287,0.70889,0.98813,0.45079,0.01659,0.0001586,0.0001586,0.0001586
95,7101.25,0.66641,0.30414,0.00788,0.91504,0.9058,0.95271,0.71206,0.98164,0.46176,0.01649,0.0001388,0.0001388,0.0001388
96,7167.11,0.67072,0.29928,0.00781,0.93811,0.89488,0.9532,0.71357,0.97605,0.46522,0.01637,0.000119,0.000119,0.000119
97,7231.74,0.65623,0.2955,0.00784,0.91371,0.90933,0.94936,0.70968,0.97092,0.47203,0.01628,9.92e-05,9.92e-05,9.92e-05
98,7295.19,0.6561,0.287,0.00779,0.91096,0.90539,0.95136,0.70928,0.97137,0.4812,0.0163,7.94e-05,7.94e-05,7.94e-05
99,7359.09,0.64566,0.28731,0.00769,0.94483,0.87773,0.95199,0.71169,0.97065,0.46998,0.01622,5.96e-05,5.96e-05,5.96e-05
100,7424.76,0.65847,0.30365,0.00788,0.91195,0.9067,0.95114,0.71427,0.9666,0.46615,0.01616,3.98e-05,3.98e-05,3.98e-05
